city Pune
key-6-87 value-87
key-2-83 value-83
key-0-87 value-87
key-0-86 value-86
key-8-84 value-84
key-9-85 value-85
key-4-85 value-85
key-2-82 value-82
key-6-88 value-88
key-5-81 value-81
key-3-86 value-86
key-1-81 value-81
key-7-87 value-87
key-2-84 value-84
key-1-82 value-82
key-9-87 value-87
key-0-88 value-88
key-4-87 value-87
key-5-82 value-82
key-3-87 value-87
key-6-89 value-89
key-8-85 value-85
key-8-86 value-86
key-7-88 value-88
key-4-88 value-88
key-1-84 value-84
key-5-83 value-83
key-6-90 value-90
key-0-89 value-89
key-1-83 value-83
key-3-88 value-88
key-3-89 value-89
key-2-85 value-85
key-4-89 value-89
key-0-90 value-90
key-5-84 value-84
key-8-87 value-87
key-9-88 value-88
key-9-90 value-90
key-4-91 value-91
key-7-90 value-90
key-5-86 value-86
key-6-91 value-91
key-7-89 value-89
key-6-93 value-93
key-8-89 value-89
key-5-87 value-87
key-8-88 value-88
key-2-88 value-88
key-6-92 value-92
key-9-91 value-91
key-9-89 value-89
key-7-91 value-91
key-4-90 value-90
key-5-88 value-88
key-3-91 value-91
key-9-92 value-92
key-4-92 value-92
key-2-86 value-86
key-2-89 value-89
key-2-87 value-87
key-3-92 value-92
key-1-85 value-85
key-8-90 value-90
key-3-90 value-90
key-0-93 value-93
key-0-92 value-92
key-1-86 value-86
key-0-91 value-91
key-5-85 value-85
key-1-87 value-87
key-7-92 value-92
key-6-94 value-94
key-8-91 value-91
key-4-93 value-93
key-2-90 value-90
key-9-93 value-93
key-5-89 value-89
key-3-93 value-93
key-3-94 value-94
key-6-95 value-95
key-1-88 value-88
key-2-91 value-91
key-8-92 value-92
key-7-93 value-93
key-0-94 value-94
key-9-94 value-94
key-5-90 value-90
key-4-94 value-94
key-2-92 value-92
key-1-89 value-89
key-8-93 value-93
key-6-96 value-96
key-0-95 value-95
key-4-95 value-95
key-7-94 value-94
key-5-91 value-91
key-6-97 value-97
key-9-95 value-95
key-2-93 value-93
key-1-90 value-90
key-8-94 value-94
key-3-95 value-95
key-9-96 value-96
key-2-94 value-94
key-3-96 value-96
key-5-92 value-92
key-4-96 value-96
key-0-96 value-96
key-3-97 value-97
key-9-97 value-97
key-2-95 value-95
key-1-91 value-91
key-7-95 value-95
key-8-95 value-95
key-6-98 value-98
key-8-96 value-96
key-1-93 value-93
key-6-99 value-99
key-3-99 value-99
key-7-97 value-97
key-9-99 value-99
key-1-94 value-94
key-6-100 value-100
key-2-97 value-97
key-3-98 value-98
key-5-94 value-94
key-1-92 value-92
key-2-96 value-96
key-5-93 value-93
key-4-98 value-98
key-7-96 value-96
key-0-97 value-97
key-4-97 value-97
key-9-98 value-98
key-5-95 value-95
key-9-100 value-100
key-0-98 value-98
key-2-98 value-98
key-5-96 value-96
key-6-101 value-101
key-4-99 value-99
key-7-98 value-98
key-1-95 value-95
key-8-97 value-97
key-8-98 value-98
key-3-100 value-100
key-0-99 value-99
key-5-97 value-97
key-1-96 value-96
key-4-100 value-100
key-2-99 value-99
key-7-99 value-99
key-6-102 value-102
key-9-101 value-101
key-5-98 value-98
key-8-99 value-99
key-4-101 value-101
key-1-97 value-97
key-6-103 value-103
key-3-101 value-101
key-2-100 value-100
key-0-100 value-100
key-7-100 value-100
key-8-100 value-100
key-2-101 value-101
key-6-104 value-104
key-4-102 value-102
key-3-102 value-102
key-9-102 value-102
key-7-101 value-101
key-1-98 value-98
key-0-101 value-101
key-8-101 value-101
key-0-102 value-102
key-5-99 value-99
key-6-105 value-105
key-1-99 value-99
key-2-103 value-103
key-4-103 value-103
key-9-103 value-103
key-2-102 value-102
key-7-102 value-102
key-5-100 value-100
key-3-103 value-103
key-9-104 value-104
key-1-100 value-100
key-6-106 value-106
key-8-102 value-102
key-4-104 value-104
key-1-101 value-101
key-7-103 value-103
key-0-103 value-103
key-3-104 value-104
key-4-105 value-105
key-7-104 value-104
key-9-105 value-105
key-8-103 value-103
key-2-104 value-104
key-6-107 value-107
key-1-102 value-102
key-5-102 value-102
key-3-105 value-105
key-0-104 value-104
key-5-101 value-101
key-2-105 value-105
key-0-105 value-105
key-4-106 value-106
key-6-108 value-108
key-9-106 value-106
key-8-104 value-104
key-3-106 value-106
key-7-105 value-105
key-0-106 value-106
key-6-109 value-109
key-1-103 value-103
key-2-106 value-106
key-3-107 value-107
key-1-104 value-104
key-5-103 value-103
key-7-106 value-106
key-9-108 value-108
key-8-105 value-105
key-4-107 value-107
key-5-104 value-104
key-9-107 value-107
key-3-108 value-108
key-7-108 value-108
key-5-105 value-105
key-7-107 value-107
key-1-105 value-105
key-2-107 value-107
key-6-111 value-111
key-8-106 value-106
key-4-108 value-108
key-6-110 value-110
key-5-106 value-106
key-8-107 value-107
key-9-110 value-110
key-2-108 value-108
key-1-106 value-106
key-4-109 value-109
key-0-107 value-107
key-9-109 value-109
key-7-109 value-109
key-5-107 value-107
key-8-108 value-108
key-0-108 value-108
key-1-107 value-107
key-6-112 value-112
key-9-111 value-111
key-6-113 value-113
key-3-110 value-110
key-3-109 value-109
key-2-109 value-109
key-5-108 value-108
key-1-108 value-108
key-0-109 value-109
key-4-110 value-110
key-7-110 value-110
key-8-109 value-109
key-3-112 value-112
key-2-111 value-111
key-9-112 value-112
key-6-114 value-114
key-8-110 value-110
key-9-113 value-113
key-0-110 value-110
key-6-115 value-115
key-7-111 value-111
key-2-110 value-110
key-5-109 value-109
key-3-113 value-113
key-0-111 value-111
key-1-109 value-109
key-8-111 value-111
key-9-114 value-114
key-4-111 value-111
key-2-112 value-112
key-7-112 value-112
key-5-110 value-110
key-4-112 value-112
key-3-111 value-111
key-6-116 value-116
key-3-114 value-114
key-6-118 value-118
key-9-116 value-116
key-6-117 value-117
key-7-113 value-113
key-9-115 value-115
key-4-113 value-113
key-1-110 value-110
key-8-112 value-112
key-5-111 value-111
key-0-112 value-112
key-2-113 value-113
key-2-115 value-115
key-8-114 value-114
key-7-114 value-114
key-9-117 value-117
key-8-113 value-113
key-4-114 value-114
key-1-111 value-111
key-2-114 value-114
key-6-119 value-119
key-0-113 value-113
key-5-112 value-112
key-3-115 value-115
key-1-112 value-112
key-4-115 value-115
key-8-115 value-115
key-9-118 value-118
key-1-113 value-113
key-7-115 value-115
key-3-116 value-116
key-2-116 value-116
key-0-114 value-114
key-6-120 value-120
key-5-113 value-113
key-5-114 value-114
key-3-117 value-117
key-4-116 value-116
key-8-116 value-116
key-6-121 value-121
key-2-117 value-117
key-1-115 value-115
key-9-120 value-120
key-9-119 value-119
key-4-117 value-117
key-8-117 value-117
key-6-122 value-122
key-0-116 value-116
key-1-114 value-114
key-5-115 value-115
key-0-115 value-115
key-2-118 value-118
key-7-116 value-116
key-7-117 value-117
key-3-118 value-118
key-8-118 value-118
key-0-117 value-117
key-2-119 value-119
key-4-118 value-118
key-3-119 value-119
key-1-116 value-116
key-6-123 value-123
key-7-118 value-118
key-5-116 value-116
key-9-121 value-121
key-6-124 value-124
key-8-119 value-119
key-0-118 value-118
key-2-120 value-120
key-5-117 value-117
key-1-117 value-117
key-9-122 value-122
key-3-120 value-120
key-7-119 value-119
key-4-119 value-119
key-9-123 value-123
key-6-125 value-125
key-3-121 value-121
key-7-120 value-120
key-0-119 value-119
key-5-118 value-118
key-0-120 value-120
key-7-121 value-121
key-6-126 value-126
key-8-121 value-121
key-2-121 value-121
key-1-119 value-119
key-8-120 value-120
key-1-118 value-118
key-4-120 value-120
key-9-124 value-124
key-3-122 value-122
key-5-119 value-119
key-2-122 value-122
key-4-121 value-121
key-7-122 value-122
key-3-123 value-123
key-1-120 value-120
key-9-125 value-125
key-2-123 value-123
key-5-120 value-120
key-6-127 value-127
key-4-122 value-122
key-8-122 value-122
key-6-128 value-128
key-3-124 value-124
key-5-121 value-121
key-7-123 value-123
key-4-123 value-123
key-2-124 value-124
key-9-126 value-126
key-1-121 value-121
key-8-123 value-123
key-0-121 value-121
key-8-124 value-124
key-4-124 value-124
key-9-127 value-127
key-6-129 value-129
key-5-122 value-122
key-3-125 value-125
key-0-122 value-122
key-2-126 value-126
key-2-125 value-125
key-1-123 value-123
key-3-126 value-126
key-8-125 value-125
key-9-128 value-128
key-1-122 value-122
key-2-127 value-127
key-7-124 value-124
key-4-125 value-125
key-6-130 value-130
key-5-123 value-123
key-7-125 value-125
key-0-123 value-123
key-9-129 value-129
key-3-127 value-127
key-9-130 value-130
key-1-125 value-125
key-8-127 value-127
key-6-132 value-132
key-4-126 value-126
key-2-128 value-128
key-0-125 value-125
key-5-125 value-125
key-0-126 value-126
key-2-129 value-129
key-9-131 value-131
key-5-126 value-126
key-4-127 value-127
key-0-124 value-124
key-7-126 value-126
key-7-127 value-127
key-8-128 value-128
key-8-126 value-126
key-1-124 value-124
key-5-124 value-124
key-3-128 value-128
key-6-131 value-131
key-3-129 value-129
key-2-130 value-130
key-0-127 value-127
key-9-132 value-132
key-6-133 value-133
key-3-130 value-130
key-1-126 value-126
key-8-129 value-129
key-5-127 value-127
key-7-128 value-128
key-4-128 value-128
key-3-132 value-132
key-5-128 value-128
key-3-131 value-131
key-9-133 value-133
key-2-131 value-131
key-4-129 value-129
key-1-127 value-127
key-8-130 value-130
key-0-129 value-129
key-8-131 value-131
key-7-129 value-129
key-6-135 value-135
key-4-130 value-130
key-0-128 value-128
key-3-133 value-133
key-9-135 value-135
key-4-131 value-131
key-0-130 value-130
key-1-128 value-128
key-7-130 value-130
key-9-134 value-134
key-5-130 value-130
key-6-136 value-136
key-5-129 value-129
key-2-132 value-132
key-6-134 value-134
key-2-133 value-133
key-2-135 value-135
key-4-132 value-132
key-1-130 value-130
key-9-137 value-137
key-1-129 value-129
key-0-132 value-132
key-3-135 value-135
key-8-132 value-132
key-5-131 value-131
key-9-136 value-136
key-5-132 value-132
key-2-134 value-134
key-3-134 value-134
key-7-131 value-131
key-6-137 value-137
key-6-138 value-138
key-0-131 value-131
key-4-133 value-133
key-2-136 value-136
key-9-138 value-138
key-5-133 value-133
key-1-131 value-131
key-7-132 value-132
key-4-134 value-134
key-0-133 value-133
key-6-139 value-139
key-8-133 value-133
key-7-133 value-133
key-3-136 value-136
key-2-137 value-137
key-0-134 value-134
key-3-137 value-137
key-9-139 value-139
key-5-134 value-134
key-1-132 value-132
key-8-134 value-134
key-9-140 value-140
key-6-140 value-140
key-1-133 value-133
key-7-134 value-134
key-2-138 value-138
key-0-135 value-135
key-5-135 value-135
key-6-141 value-141
key-5-136 value-136
key-3-138 value-138
key-8-135 value-135
key-1-134 value-134
key-5-137 value-137
key-9-141 value-141
key-6-142 value-142
key-0-136 value-136
key-7-135 value-135
key-3-139 value-139
key-4-135 value-135
key-7-136 value-136
key-2-139 value-139
key-4-136 value-136
key-5-138 value-138
key-8-136 value-136
key-5-139 value-139
key-1-136 value-136
key-6-143 value-143
key-4-137 value-137
key-1-135 value-135
key-3-141 value-141
key-0-138 value-138
key-0-137 value-137
key-8-137 value-137
key-3-140 value-140
key-9-142 value-142
